,detector
F-08,"[0.59411844 0.61551329 0.76856873 0.91339539 1.03518144 1.13063537
 1.21292324 1.24419263 1.19646567 1.35939566 1.40876838 1.43180898
 1.44991232 1.46307838 1.47295292 1.47953595 1.48611898 1.48118171
 1.3692702  1.40876838 1.46636989 1.45155807 1.43016323 1.40712262
 1.38572778 1.36268717 1.33964657 1.31660596 1.25735869 1.13392689
 1.21292324 1.19646567 1.160259   1.12076083 1.08619992 1.05328477
 1.02036962 0.99239174 0.9594766  0.85908539 0.86566842 0.87554297
 0.84756509 0.81794145 0.78831782 0.75869419 0.73236207 0.7076757
 0.68134359 0.63361662 0.55791178 0.58588965 0.56284905 0.52828814
 0.48714421 0.44270875 0.39169027 0.33408876 0.24850938 0.20078241
 0.21723998]"
F-12,"[0.35831885 0.42897328 0.57028212 0.70654422 0.8175726  0.93364772
 1.02953586 1.10523703 1.09514354 1.25159262 1.32729379 1.37776123
 1.41308844 1.44841565 1.47364938 1.49383635 1.50897659 1.51402333
 1.44336891 1.44841565 1.50897659 1.50392984 1.48878961 1.47364938
 1.4534624  1.43327542 1.4080417  1.38280798 1.34748076 1.22131215
 1.29196658 1.2717796  1.23645239 1.20617192 1.16579796 1.1355175
 1.10019029 1.06486308 1.02953586 0.94878795 0.92355423 0.93364772
 0.89832051 0.87308679 0.83775958 0.79738562 0.76205841 0.73682469
 0.70149748 0.66112352 0.58037561 0.5904691  0.56018863 0.51476793
 0.47439398 0.41887979 0.36841234 0.30280467 0.2271035  0.18672954
 0.23215024]"
G-02,"[0.37443165 0.44839345 0.59169445 0.72575023 0.84593816 0.94763565
 1.04471052 1.11867232 1.10018187 1.24810549 1.31744468 1.36367081
 1.40065171 1.43301    1.46074568 1.47923613 1.49310397 1.49772658
 1.44687784 1.43763262 1.50697181 1.50697181 1.49310397 1.47461352
 1.45612307 1.42838739 1.40527433 1.38216126 1.34055774 1.21112458
 1.28508639 1.27121855 1.23423765 1.20187936 1.16952107 1.13254016
 1.10018187 1.06782358 1.03084268 0.95225826 0.9291452  0.93839042
 0.90603213 0.87367384 0.84131555 0.80433465 0.77197636 0.73499545
 0.70263716 0.66103365 0.57782661 0.59169445 0.55933616 0.51311003
 0.4668839  0.41603516 0.36056381 0.30046984 0.22188542 0.17565929
 0.22650803]"
G-04,"[0.47641935 0.57720036 0.73295284 0.8703815  0.98490538 1.08110544
 1.16356263 1.20937218 1.17272454 1.32389606 1.37886753 1.4017723
 1.42925804 1.4430009  1.46132472 1.47506759 1.47964854 1.47964854
 1.37886753 1.43383899 1.47964854 1.47048663 1.45216281 1.43383899
 1.41551517 1.38802944 1.36054371 1.33305798 1.27350556 1.15440072
 1.23685792 1.21395314 1.1773055  1.14523881 1.10859117 1.07652448
 1.03987684 1.01239111 0.97574347 0.87954341 0.88870532 0.89328627
 0.8703815  0.83831481 0.80624812 0.77876239 0.7466957  0.71920997
 0.68714329 0.64591469 0.57261941 0.59094323 0.55887654 0.5222289
 0.4810003  0.43519075 0.38480024 0.32066687 0.23820967 0.20614299
 0.23362872]"
G-06,"[0.62685347 0.60516303 0.7591651  0.90232194 1.02161932 1.12356434
 1.20598798 1.25153789 1.19080468 1.34046866 1.39035665 1.40987804
 1.42506134 1.43590655 1.44675177 1.45759698 1.4684422  1.47061124
 1.39686378 1.38384952 1.46410411 1.45759698 1.43590655 1.41421612
 1.39035665 1.36432813 1.34046866 1.31444014 1.26672119 1.12790243
 1.19948085 1.18863564 1.1517619  1.11271913 1.07367635 1.0411407
 1.01294314 0.98691463 0.96088611 0.88713864 0.84375778 0.87412438
 0.85026491 0.81772926 0.78736266 0.7591651  0.73530562 0.7092771
 0.68758667 0.6485439  0.5682893  0.59431782 0.57913452 0.54442983
 0.50755609 0.46634427 0.41862532 0.36439925 0.29065178 0.21473527
 0.23425666]"
G-11,"[0.49619245 0.54370024 0.68622361 0.81818969 0.92904119 1.02933541
 1.1137937  1.15602285 1.13490827 1.29854621 1.35661128 1.38828314
 1.41467636 1.44106957 1.46218415 1.47802008 1.48329872 1.48329872
 1.37772586 1.43579093 1.48857736 1.48329872 1.46746279 1.44106957
 1.41467636 1.38828314 1.36716857 1.35133264 1.29854621 1.16658013
 1.25631706 1.24048114 1.20880928 1.17185877 1.14018692 1.10851506
 1.07156456 1.0398927  1.00294219 0.89209069 0.90264798 0.91320526
 0.8815334  0.84986154 0.81818969 0.79179647 0.76012461 0.72845275
 0.69678089 0.64399446 0.57009346 0.59120803 0.56481481 0.52258567
 0.48035652 0.43284874 0.37478366 0.32199723 0.23753894 0.19003115
 0.20058844]"
G-13,"[0.45346037 0.4853942  0.62270966 0.75363836 0.86540676 0.9707884
 1.05700974 1.11129725 1.07936342 1.24861271 1.31567375 1.35718773
 1.39231494 1.42105539 1.44660245 1.46576275 1.48172966 1.49130981
 1.39870171 1.417862   1.49450319 1.48811643 1.47214951 1.4561826
 1.43382892 1.41147524 1.38912156 1.36996126 1.32206052 1.18793844
 1.28054654 1.27735316 1.24541933 1.21029212 1.1751649  1.13684431
 1.09852371 1.0633965  1.02826929 0.94204795 0.91330751 0.93885457
 0.91330751 0.88137368 0.84624647 0.81111925 0.77918543 0.74405821
 0.708931   0.66103026 0.57161554 0.59077583 0.56203539 0.52371479
 0.47900743 0.43110669 0.37681918 0.31933829 0.24908387 0.18202282
 0.19798974]"
H-03,"[0.4647619  0.48219048 0.61580952 0.74942857 0.87142857 0.97019048
 1.06895238 1.12704762 1.09219048 1.26647619 1.33038095 1.37685714
 1.41171429 1.4407619  1.45819048 1.48142857 1.49304762 1.49885714
 1.41752381 1.41752381 1.49304762 1.49304762 1.46980952 1.45238095
 1.43495238 1.40590476 1.38266667 1.35942857 1.3187619  1.17933333
 1.25485714 1.24904762 1.22       1.18514286 1.15028571 1.11542857
 1.08057143 1.05152381 1.01666667 0.93533333 0.89466667 0.92371429
 0.89466667 0.86561905 0.8307619  0.79590476 0.76104762 0.732
 0.70295238 0.66809524 0.58095238 0.59838095 0.58095238 0.54028571
 0.49380952 0.44733333 0.39504762 0.33695238 0.26142857 0.19171429
 0.2207619 ]"
H-08,"[0.62785407 0.61431544 0.76831738 0.91385768 1.02893605 1.12878347
 1.2066306  1.24386184 1.18970731 1.34540158 1.39617145 1.41986406
 1.43678735 1.45032598 1.46217228 1.47232626 1.4807879  1.47909557
 1.36909419 1.40124844 1.46386461 1.45201831 1.43001803 1.40632543
 1.38263282 1.35894021 1.33524761 1.31324733 1.26078513 1.12709114
 1.20832293 1.19816896 1.16432237 1.12709114 1.0898599  1.05601332
 1.02385907 0.99001248 0.95785823 0.87154945 0.85970315 0.87831877
 0.84954917 0.82077958 0.79370232 0.76493272 0.7344708  0.70908586
 0.6820086  0.63631572 0.55846858 0.5889305  0.56862256 0.53308365
 0.49416008 0.45185185 0.39938965 0.34015814 0.25892634 0.20138715
 0.22338743]"
H-10,"[0.4545044  0.57846015 0.73455257 0.86769022 0.97787311 1.07428313
 1.15232934 1.19823888 1.18446602 1.33137653 1.37728607 1.40942274
 1.43237751 1.45533228 1.46910514 1.47828705 1.48746895 1.48746895
 1.37269512 1.44615037 1.482878   1.46910514 1.45533228 1.43237751
 1.40942274 1.38646798 1.35892225 1.33137653 1.28087604 1.16151125
 1.23496651 1.21201174 1.17987507 1.14314744 1.11101076 1.07887409
 1.04673741 1.01000978 0.97787311 0.87687213 0.89523594 0.89064499
 0.85391736 0.8309626  0.79423497 0.76209829 0.73455257 0.70700685
 0.67946113 0.6427335  0.56927824 0.59223301 0.56468729 0.52795966
 0.48205012 0.43614059 0.38104915 0.3259577  0.24332054 0.21577482
 0.26168435]"
I-05,"[0.46136549 0.5528073  0.70243936 0.84375852 0.96429545 1.06405015
 1.14717907 1.20121286 1.15964841 1.31759335 1.37162715 1.40487871
 1.42981739 1.44228673 1.45475606 1.4672254  1.47553829 1.47969474
 1.40487871 1.42981739 1.48385119 1.47553829 1.45475606 1.43813028
 1.40903516 1.38825293 1.35915781 1.33837558 1.29265467 1.16380485
 1.23446443 1.2136822  1.18043064 1.14302262 1.10561461 1.07236304
 1.03911147 1.01001635 0.97676479 0.89779231 0.88532298 0.89779231
 0.87285364 0.83960207 0.81050695 0.77725538 0.74816026 0.71906514
 0.68997002 0.65256201 0.57358953 0.59852821 0.56943309 0.53202507
 0.49046062 0.44058327 0.39486236 0.33251567 0.24938675 0.20782229
 0.26601254]"
I-07,"[0.50474455 0.5788355  0.73164807 0.87982996 1.00485842 1.0974721
 1.18082441 1.23639262 1.19008578 1.33826767 1.38920519 1.41235861
 1.44014272 1.45403477 1.46792682 1.47718819 1.48644956 1.48181887
 1.42161998 1.39846656 1.46329614 1.44940408 1.43088135 1.4169893
 1.39383588 1.37068246 1.34752904 1.31974493 1.28269946 1.14840963
 1.21786989 1.19934715 1.16693236 1.13451757 1.0974721  1.06505731
 1.03264253 1.00485842 0.96781295 0.89372201 0.8659379  0.88446064
 0.85204585 0.81963106 0.79184696 0.75943217 0.73164807 0.70386396
 0.68071054 0.64829576 0.56957413 0.58809686 0.56494344 0.53252866
 0.4908525  0.44917635 0.39823882 0.33803993 0.26394899 0.20838078
 0.28247172]"
J-03,"[0.32325602 0.40804448 0.54052645 0.65711059 0.77369473 0.89027886
 0.99096516 1.07575363 1.08635218 1.25592911 1.33011902 1.37781253
 1.42020676 1.45200243 1.47849883 1.50499522 1.51559378 1.52089306
 1.44140387 1.48379811 1.53149162 1.52089306 1.50499522 1.48379811
 1.46790027 1.44670315 1.42020676 1.38841109 1.34601685 1.22943272
 1.30362262 1.27712623 1.24533055 1.2082356  1.17643993 1.13934497
 1.10225002 1.06515507 1.0333594  0.93797237 0.94327165 0.93797237
 0.9061767  0.87438103 0.84258535 0.80019112 0.77369473 0.74189905
 0.7048041  0.66240987 0.58821996 0.59881852 0.56702285 0.51932934
 0.47163583 0.42394232 0.36565025 0.29675962 0.22256972 0.19607332
 0.20667188]"
J-08,"[0.4538213  0.54550237 0.69677613 0.83888179 0.94889908 1.05433231
 1.13684527 1.19643796 1.15976554 1.3110393  1.370632   1.40730443
 1.43480875 1.45314496 1.46689712 1.48064928 1.48523334 1.48981739
 1.42105659 1.41647253 1.48064928 1.47148118 1.45314496 1.43022469
 1.40730443 1.38438416 1.35687984 1.33395957 1.29270309 1.15976554
 1.23311039 1.21477418 1.1826858  1.14601338 1.113925   1.07725257
 1.0451642  1.01307582 0.98098745 0.9168107  0.87097017 0.89389043
 0.86638611 0.83888179 0.80220936 0.77470504 0.74261667 0.71511235
 0.68302397 0.65551965 0.56842263 0.5913429  0.56842263 0.53175021
 0.49049373 0.44465319 0.3942286  0.33921996 0.26129105 0.20628241
 0.29796348]"
J-10,"[0.39022161 0.48313152 0.61785089 0.73863377 0.85012566 0.95232656
 1.05452745 1.1102734  1.10098241 1.27286574 1.33790267 1.37971213
 1.41687609 1.44474907 1.46797654 1.48655853 1.50049501 1.50049501
 1.39829411 1.45868555 1.509786   1.50049501 1.48655853 1.47262204
 1.44474907 1.42616709 1.39829411 1.37506664 1.31932069 1.19389232
 1.27286574 1.25428376 1.21711979 1.17995583 1.14279187 1.1102734
 1.07310944 1.04523646 1.012718   0.91516259 0.92445358 0.92909908
 0.89658061 0.86406214 0.83618917 0.79902521 0.77115224 0.73398827
 0.7061153  0.66430584 0.58533242 0.59926891 0.57139593 0.52494098
 0.48313152 0.43203107 0.38093062 0.32053918 0.23227477 0.1997563
 0.23227477]"
J-12,"[0.39751403 0.41591746 0.53738008 0.65516201 0.77294394 0.87968382
 0.98274302 1.05635672 1.0379533  1.2146262  1.29192059 1.34345019
 1.38761842 1.42074458 1.45019007 1.47595487 1.49803898 1.50908104
 1.42442527 1.4428287  1.51644241 1.51276172 1.50540035 1.48699692
 1.4685935  1.43914801 1.41338321 1.3912991  1.3397695  1.19990346
 1.28823991 1.28823991 1.25511374 1.22198757 1.1888614  1.14837386
 1.11524769 1.07476015 1.0379533  0.94593616 0.91649068 0.94961685
 0.92385205 0.89072588 0.86496108 0.82815423 0.79502806 0.76190189
 0.72509503 0.67724612 0.5815483  0.6073131  0.5815483  0.54106076
 0.49689254 0.44904363 0.39383334 0.33126169 0.25028661 0.19139564
 0.20979907]"
K-07,"[0.51945142 0.52491933 0.66708498 0.80925063 0.92407673 1.03343492
 1.11545357 1.16466475 1.11545357 1.28495877 1.34510577 1.38884905
 1.42165651 1.43806024 1.45993188 1.4763356  1.48727142 1.49273933
 1.39978487 1.41072069 1.48727142 1.48180351 1.45993188 1.43806024
 1.4161886  1.38884905 1.36697741 1.34510577 1.3013625  1.16466475
 1.2466834  1.24121549 1.20840803 1.17013266 1.13732521 1.09904984
 1.06624238 1.02796701 1.00062747 0.91314091 0.89126927 0.91314091
 0.88580136 0.85846181 0.83112227 0.79831481 0.76550735 0.73269989
 0.69989243 0.65614916 0.56319469 0.59053424 0.5686626  0.53038724
 0.48117605 0.43743277 0.38275368 0.32807458 0.25152384 0.18590893
 0.20778057]"
L-04,"[0.41653034 0.40785262 0.52500178 0.64648979 0.76797781 0.87211039
 0.97624298 1.05434241 1.03698698 1.20620243 1.29297959 1.34504588
 1.39277331 1.43182303 1.45785618 1.47955047 1.50124475 1.51426133
 1.4448396  1.43182303 1.51426133 1.50992247 1.49256704 1.47521161
 1.45351732 1.43616189 1.4144676  1.39277331 1.34938474 1.20186357
 1.29297959 1.29297959 1.26260758 1.22355786 1.18450814 1.14545843
 1.10640871 1.0760367  1.03698698 0.9632264  0.90682125 0.94587097
 0.92417668 0.89380468 0.86777153 0.83306067 0.79834981 0.76363895
 0.72458923 0.6768618  0.58574579 0.60310122 0.58140693 0.53801835
 0.49462977 0.44690234 0.39483605 0.3384309  0.26033146 0.19090974
 0.20392631]"
L-09,"[0.3829951  0.42253008 0.54607688 0.66221088 0.77587394 0.89200794
 0.99578726 1.07238628 1.06991534 1.25029368 1.3268927  1.37631142
 1.41831733 1.4504395  1.4776198  1.49738729 1.51468384 1.51962571
 1.41831733 1.44796857 1.51715478 1.51221291 1.49491635 1.4776198
 1.45538137 1.43314295 1.41090452 1.38619516 1.3343055  1.19840402
 1.28735772 1.27747397 1.24288087 1.2107587  1.17369466 1.13663062
 1.09956657 1.0674444  1.03038036 0.93648479 0.91918824 0.93895573
 0.91177543 0.87965326 0.84753109 0.81046705 0.77587394 0.74375177
 0.71410054 0.66962369 0.58066999 0.60290841 0.57572812 0.53619314
 0.49171629 0.44229757 0.38793697 0.32616357 0.25203548 0.18779115
 0.2050877 ]"
M-07,"[0.51742523 0.4730745  0.6061267  0.74509234 0.86040425 0.96093258
 1.04372061 1.10876836 1.07033106 1.23295041 1.30391159 1.34826232
 1.38669963 1.41626678 1.43992051 1.46357423 1.48131453 1.49018467
 1.42218021 1.41331007 1.49905482 1.4960981  1.48131453 1.46357423
 1.43992051 1.41626678 1.39261306 1.36895933 1.33052203 1.18859968
 1.27434443 1.27730115 1.24773399 1.21225341 1.17677282 1.13833551
 1.09989821 1.06737434 1.02893704 0.94023557 0.90475498 0.93432214
 0.91362513 0.88405797 0.84857738 0.81605351 0.78352964 0.75100577
 0.71256846 0.66526101 0.57064612 0.59429984 0.56473268 0.52038195
 0.4730745  0.42576705 0.37254617 0.31636857 0.2454074  0.18035965
 0.19809995]"
