,detector
A-08,"[0.43766015 0.50018303 0.64309247 0.7636723  0.87085438 0.97357054
 1.05842302 1.10754814 1.08968446 1.24599165 1.30851453 1.35317373
 1.38890109 1.42016253 1.44249213 1.46928765 1.48715133 1.49161725
 1.38443517 1.44249213 1.49161725 1.48715133 1.47375357 1.45588989
 1.43356029 1.41123069 1.38890109 1.37103741 1.31298045 1.19240061
 1.28618493 1.27278717 1.24152573 1.21026429 1.17453694 1.13880958
 1.10308222 1.06735486 1.02716158 0.92444542 0.9199795  0.93337726
 0.90658174 0.8753203  0.83959294 0.80386558 0.76813822 0.73687678
 0.70114943 0.65649023 0.57610367 0.59843327 0.56270591 0.52697855
 0.48231935 0.43766015 0.37513727 0.32154623 0.24562559 0.18756864
 0.2009664 ]"
B-06,"[0.35684973 0.44206758 0.5858727  0.71369947 0.83620012 0.94272243
 1.03859251 1.10783201 1.09717978 1.26228936 1.32620274 1.37413778
 1.41142059 1.44337728 1.47000786 1.49131232 1.50729067 1.51261678
 1.43805117 1.45935563 1.51261678 1.50196455 1.49131232 1.47533397
 1.45402951 1.43272505 1.40609447 1.38479001 1.34218109 1.21435432
 1.28891993 1.26761547 1.23565878 1.19837597 1.16641928 1.12913647
 1.09717978 1.05989697 1.02794028 0.94804855 0.9320702  0.9320702
 0.90543962 0.87348293 0.83620012 0.80424343 0.76696062 0.73500393
 0.69772112 0.6551122  0.57522047 0.59119881 0.553916   0.5166332
 0.46337204 0.415437   0.36217585 0.29826246 0.22369685 0.18641404
 0.22369685]"
C-03,"[0.43745282 0.42758546 0.5558611  0.6775585  0.79596679 0.90121859
 0.99989216 1.06896366 1.04265071 1.21039577 1.29262375 1.34524965
 1.3880082  1.42747762 1.45707969 1.48668176 1.5097056  1.52286207
 1.44721234 1.42089939 1.51299472 1.50641648 1.48668176 1.46365793
 1.4406341  1.42089939 1.40116467 1.38142996 1.34524965 1.20381753
 1.28933463 1.29591287 1.26302168 1.22355225 1.18408282 1.14461339
 1.10843309 1.0755419  1.03936159 0.95384449 0.90121859 0.94068802
 0.91766419 0.88148388 0.85188181 0.8157015  0.78609943 0.75649736
 0.72031705 0.67426938 0.57559582 0.60190877 0.57888493 0.53941551
 0.49336784 0.44074194 0.39140515 0.32891189 0.25655128 0.18747978
 0.20392537]"
C-09,"[0.25016404 0.32521325 0.41527231 0.51033465 0.60539698 0.730479
 0.91560039 1.08070866 1.11573163 1.29584974 1.36589567 1.41592848
 1.45595472 1.48097113 1.51099081 1.52600066 1.53600722 1.5410105
 1.4359416  1.51599409 1.56102362 1.55101706 1.53600722 1.52099738
 1.50098425 1.47596785 1.44594816 1.41592848 1.35588911 1.23581037
 1.3058563  1.2808399  1.24081365 1.20579068 1.16576444 1.13074147
 1.10072178 1.06569882 1.03067585 0.93061024 0.95062336 0.95062336
 0.91560039 0.88057743 0.84555446 0.81553478 0.78051181 0.75049213
 0.71546916 0.66543635 0.59539042 0.61040026 0.5753773  0.53034777
 0.49032152 0.44028871 0.38525262 0.32521325 0.24015748 0.22014436
 0.23015092]"
C-11,"[0.39813382 0.43942178 0.56623477 0.69304777 0.81101334 0.91423322
 1.01155482 1.07053761 1.04989364 1.22979114 1.30646877 1.353655
 1.39494295 1.43033262 1.45982402 1.48636627 1.50701025 1.51880681
 1.43328176 1.4509766  1.52175595 1.51585767 1.49816283 1.48046799
 1.45982402 1.43918004 1.41263779 1.39199381 1.3389093  1.20324889
 1.30057049 1.29172307 1.2563334  1.21799459 1.18260491 1.14721524
 1.11182557 1.07348675 1.0321988  0.9348772  0.91423322 0.9348772
 0.90833494 0.87589441 0.84050474 0.8080642  0.77562367 0.74318314
 0.7107426  0.65765809 0.57213305 0.59572617 0.57213305 0.52789596
 0.48365887 0.4335235  0.37748985 0.31850706 0.23593115 0.17989751
 0.19759234]"
D-05,"[0.5205014  0.47904553 0.61262554 0.74159934 0.85675451 0.96269727
 1.06403383 1.13773314 1.10088349 1.26670694 1.34501246 1.38646832
 1.41871177 1.44634901 1.46477384 1.47859246 1.49241109 1.5016235
 1.42792419 1.40489315 1.49701729 1.49241109 1.47398626 1.45095522
 1.42792419 1.40489315 1.38186212 1.35883108 1.31737522 1.1745828
 1.25749453 1.25288832 1.22064487 1.18379521 1.14694556 1.1100959
 1.07324624 1.045609   1.01336555 0.93045382 0.88899796 0.9166352
 0.88899796 0.85675451 0.82451106 0.79687382 0.76463037 0.73238692
 0.70474968 0.66790002 0.57577588 0.59880692 0.58038209 0.53892623
 0.49747036 0.44680208 0.39613381 0.33625311 0.25794759 0.1934607
 0.21188552]"
D-07,"[0.48424463 0.59789388 0.75107331 0.88448765 0.99319563 1.09202106
 1.17108141 1.20567031 1.1908465  1.33908465 1.3835561  1.418145
 1.44285136 1.46755772 1.47744026 1.4873228  1.49226407 1.4873228
 1.36873228 1.44285136 1.47249899 1.45767517 1.43791009 1.418145
 1.39343864 1.37367355 1.34896719 1.32426083 1.26990684 1.15625759
 1.23531794 1.21555286 1.18096395 1.14637505 1.11178615 1.07719725
 1.04260834 1.01296071 0.97343054 0.8746051  0.88942892 0.88942892
 0.85978129 0.82519239 0.79554475 0.76589712 0.73130822 0.70660186
 0.67695423 0.63742406 0.56824625 0.58801134 0.55836371 0.51883354
 0.47930336 0.42989064 0.38047793 0.32118267 0.23718104 0.20259214
 0.23718104]"
E-02,"[0.38927168 0.42312139 0.54441618 0.6713526  0.78136416 0.89701734
 0.99574566 1.07190751 1.06062428 1.23833526 1.31731792 1.36809249
 1.40758382 1.44143353 1.46682081 1.48656647 1.50349133 1.50913295
 1.41886705 1.44707514 1.51195376 1.50349133 1.48656647 1.46964162
 1.45271676 1.43015029 1.40758382 1.38501734 1.33988439 1.19884393
 1.28346821 1.27782659 1.24115607 1.20730636 1.16781503 1.13678613
 1.10011561 1.06908671 1.03523699 0.94215029 0.91958382 0.9449711
 0.91958382 0.88855491 0.86034682 0.8236763  0.78982659 0.75315607
 0.71930636 0.67417341 0.58390751 0.60365318 0.58108671 0.53595376
 0.49364162 0.44568786 0.39209249 0.33003468 0.25387283 0.19181503
 0.20873988]"
E-10,"[0.5097493  0.48739188 0.62153643 0.75568099 0.8719396  0.97925524
 1.07762791 1.14470019 1.10892831 1.27884474 1.35485999 1.39510336
 1.42640375 1.45323266 1.46664712 1.48900454 1.502419   1.50689049
 1.42193227 1.42193227 1.49794752 1.48900454 1.4711186  1.45323266
 1.43087524 1.4129893  1.38616039 1.35933148 1.31461663 1.1715291
 1.25201583 1.24754435 1.21177247 1.17600059 1.14022871 1.09998534
 1.06868494 1.03738455 1.00608415 0.91665445 0.88535405 0.91218296
 0.88088257 0.85852514 0.82722475 0.79145287 0.76015247 0.73332356
 0.70202316 0.65730831 0.5723501  0.59470752 0.5723501  0.53657821
 0.49186336 0.44267703 0.38901921 0.3308899  0.25040317 0.18780238
 0.20568832]"
F-05,"[0.47196227 0.58433424 0.741655   0.88099624 0.99336821 1.09225554
 1.16866848 1.21361727 1.17316336 1.334979   1.38891754 1.4203817
 1.44285609 1.46083561 1.46982536 1.48331    1.48780488 1.48331
 1.38442267 1.41588682 1.46982536 1.46083561 1.43836121 1.41588682
 1.39341242 1.36644315 1.34846364 1.32149436 1.2720507  1.15068897
 1.23159679 1.21361727 1.17765824 1.14619409 1.11023506 1.07427603
 1.04281188 1.01134773 0.97089382 0.88099624 0.88099624 0.889986
 0.86301673 0.83155258 0.80008842 0.76862427 0.741655   0.71468573
 0.68322158 0.64726255 0.57084961 0.593324   0.56185985 0.52590082
 0.48544691 0.44049812 0.38655958 0.32363127 0.24272345 0.20676442
 0.25171321]"
