,detector
A-08,"[0.3575336  0.33846515 0.42427321 0.50531416 0.57682088 0.63402626
 0.68169741 0.70553298 0.67693029 0.7770397  0.82471085 0.85331354
 0.88191622 0.91528603 0.94865583 0.98202563 1.01062832 1.04399812
 0.99632698 1.03446389 1.12027196 1.14410753 1.15840888 1.17271022
 1.18224445 1.1965458  1.21561425 1.2299156  1.22514848 1.12027196
 1.24898406 1.28235386 1.28712098 1.28235386 1.28235386 1.28235386
 1.29188809 1.2966552  1.28712098 1.20131291 1.20608003 1.28235386
 1.29188809 1.29188809 1.27758675 1.25851829 1.23944983 1.22038137
 1.1965458  1.15364176 1.01539544 1.08690216 1.07260081 1.02016255
 0.96295717 0.88191622 0.79134104 0.67693029 0.52914973 0.40043764
 0.46717724]"
B-06,"[0.23673997 0.30172742 0.38064074 0.45491211 0.51525759 0.57096111
 0.61738072 0.6545164  0.63594856 0.73342972 0.77984933 0.81698501
 0.84947873 0.88197245 0.91910813 0.95624382 0.98873754 1.02123126
 0.9933795  1.00266342 1.09550263 1.12335439 1.14656419 1.16513203
 1.18369987 1.20226771 1.22083555 1.23476143 1.23476143 1.13728027
 1.25332927 1.285823   1.29046496 1.29510692 1.30439084 1.3090328
 1.31367476 1.31831672 1.31831672 1.23940339 1.24404535 1.3090328
 1.31367476 1.3090328  1.29974888 1.29046496 1.27189712 1.2626132
 1.23476143 1.19298379 1.06765086 1.12799635 1.10014459 1.04908302
 0.98409558 0.90518225 0.79841717 0.68236816 0.51989955 0.40385054
 0.64987444]"
C-03,"[0.33935273 0.28548722 0.35281911 0.420151   0.48478962 0.53865513
 0.58444081 0.62214667 0.60060047 0.68947856 0.74603735 0.78374321
 0.82683562 0.86992803 0.90763389 0.9507263  0.99112544 1.02883129
 1.01805819 0.99920526 1.10962956 1.14733542 1.16888163 1.18773456
 1.20658749 1.22274714 1.23621352 1.25237317 1.25506645 1.14733542
 1.26314628 1.30893196 1.31970506 1.32239834 1.32509162 1.32778489
 1.33047817 1.33317144 1.32509162 1.2712261  1.20389421 1.31162524
 1.31970506 1.31431851 1.30893196 1.29007903 1.27391938 1.25506645
 1.23352024 1.19312111 1.0503775  1.10693629 1.10693629 1.05845733
 0.99651199 0.91571372 0.82414235 0.71371804 0.56289461 0.40668462
 0.45247031]"
C-09,"[0.18902848 0.20946399 0.26055276 0.31675042 0.34740369 0.39338358
 0.42403685 0.44447236 0.42914573 0.50577889 0.54664992 0.57730318
 0.62328308 0.68969849 0.82763819 0.9400335  0.99623116 1.04731993
 1.00644891 1.06264657 1.14438861 1.18015075 1.19547739 1.2159129
 1.24145729 1.25167504 1.27211055 1.29254606 1.28232831 1.18015075
 1.31809045 1.3538526  1.36407035 1.36917923 1.36917923 1.37428811
 1.37939698 1.37939698 1.37428811 1.28743719 1.31298157 1.38450586
 1.39472362 1.38961474 1.37939698 1.36407035 1.34874372 1.32830821
 1.31298157 1.2618928  1.11884422 1.20569514 1.18015075 1.1239531
 1.05753769 0.98090452 0.87872697 0.7561139  0.57730318 0.44958124
 0.53132328]"
C-11,"[0.29458868 0.29207083 0.36508854 0.43558839 0.49098114 0.54385603
 0.58665951 0.61435588 0.59673092 0.697445   0.74276634 0.78305197
 0.81830189 0.85606967 0.89635531 0.93664094 0.97944442 1.0172122
 0.97944442 1.04239072 1.12296198 1.15821191 1.18087258 1.19849754
 1.21612251 1.23374747 1.24633673 1.26144384 1.24633673 1.14562265
 1.28158666 1.31683659 1.32439014 1.32942585 1.32942585 1.32942585
 1.32942585 1.3319437  1.32187229 1.23122962 1.25389029 1.31935444
 1.326908   1.32439014 1.31180088 1.29165807 1.26647955 1.25137244
 1.23374747 1.18590828 1.05246213 1.13303339 1.11037272 1.05497998
 0.98699798 0.90390886 0.80823049 0.68737359 0.52119536 0.40285632
 0.46832047]"
D-05,"[0.38295256 0.3118892  0.38690052 0.46191185 0.52113132 0.57640282
 0.6119345  0.64351822 0.6119345  0.70668565 0.75406123 0.78564494
 0.82117662 0.8567083  0.89618795 0.93566759 0.97119928 1.00278299
 0.95935538 0.9909391  1.09358618 1.11727396 1.13701379 1.15675361
 1.1804414  1.19228529 1.21202511 1.22781697 1.21992104 1.10937803
 1.23176493 1.26729662 1.27124458 1.28308847 1.28308847 1.28703644
 1.29493237 1.29888033 1.29888033 1.21597308 1.21992104 1.3028283
 1.30677626 1.29888033 1.29493237 1.28703644 1.27519254 1.26729662
 1.25150476 1.21992104 1.07779432 1.16070157 1.14490971 1.1014821
 1.04226264 0.96725131 0.87644813 0.76195715 0.58824672 0.4342761
 0.55271503]"
D-07,"[0.27576392 0.34725827 0.43407283 0.51578066 0.58216827 0.6383424
 0.68940979 0.72005023 0.68430306 0.79154458 0.83750523 0.86814567
 0.8987861  0.9243198  0.9498535  0.97538719 1.00092089 1.02645458
 0.98560067 0.99581415 1.09284219 1.12348263 1.13880285 1.15412306
 1.16433654 1.17965676 1.20008372 1.2102972  1.20519046 1.09284219
 1.2102972  1.25115111 1.26136459 1.27157807 1.27157807 1.27668481
 1.27668481 1.28179154 1.27157807 1.20519046 1.1847635  1.27668481
 1.27668481 1.27668481 1.26647133 1.25625785 1.24093763 1.22561741
 1.21540393 1.17965676 1.0417748  1.11837589 1.11326915 1.0673085
 1.00602763 0.92942654 0.83750523 0.73026371 0.56684805 0.42385936
 0.48514023]"
E-02,"[0.24354943 0.28617058 0.35314668 0.42316714 0.4840545  0.53580875
 0.5784299  0.61191795 0.58756301 0.68193841 0.7306483  0.77022508
 0.81284623 0.85851175 0.90722164 0.95288716 1.00159705 1.03812946
 1.01986325 1.01986325 1.13250487 1.16294855 1.18425912 1.19948096
 1.21774717 1.23296901 1.24819085 1.26036832 1.26036832 1.14772671
 1.26950142 1.30907821 1.31516694 1.31516694 1.31516694 1.31516694
 1.31516694 1.31821131 1.31821131 1.25732395 1.21774717 1.31212257
 1.31516694 1.30603384 1.29690073 1.27863453 1.26036832 1.24819085
 1.22992464 1.19643659 1.0533513  1.12337176 1.11423866 1.06552877
 1.00464141 0.93157658 0.83720118 0.7306483  0.57538554 0.42621151
 0.4840545 ]"
E-10,"[0.40043764 0.32977217 0.40043764 0.47502896 0.54176857 0.5967306
 0.63991505 0.67132192 0.63598919 0.73413567 0.78124598 0.81265285
 0.84405972 0.87939246 0.91079933 0.95005792 0.98931651 1.02072339
 0.98539066 1.00109409 1.10316643 1.1345733  1.1542026  1.1738319
 1.18953533 1.20131291 1.21309049 1.23271978 1.22879392 1.11494401
 1.23664564 1.26805252 1.26805252 1.27197838 1.26805252 1.26805252
 1.27197838 1.27590423 1.27983009 1.21309049 1.18560947 1.28375595
 1.28768181 1.28375595 1.27590423 1.26412666 1.24842322 1.2405715
 1.22879392 1.19346119 1.05605612 1.1345733  1.12672159 1.07961128
 1.02072339 0.95005792 0.86761488 0.75376496 0.59280474 0.42399279
 0.53391685]"
F-05,"[0.38369756 0.37974191 0.47072174 0.54983464 0.62499189 0.68037092
 0.72783866 0.74761689 0.71201608 0.81486285 0.8544193  0.88606446
 0.90979833 0.9335322  0.96122171 0.98495558 1.01264509 1.02846767
 0.97704429 1.02055638 1.09966928 1.11944751 1.13922573 1.15109267
 1.1629596  1.17482654 1.19064911 1.1985604  1.18273783 1.08780235
 1.21042734 1.23416121 1.2420725  1.2420725  1.24602814 1.24602814
 1.24602814 1.24602814 1.24602814 1.15900396 1.19460476 1.25789508
 1.26185072 1.25789508 1.24998379 1.23811685 1.22624992 1.21833863
 1.20251605 1.15900396 1.03242332 1.11153622 1.09966928 1.05220154
 0.98891122 0.91770962 0.82672978 0.71992737 0.55774593 0.43116529
 0.51027819]"
