,detector
F-08,"[0.32159669 0.3713676  0.4670809  0.54748007 0.61256512 0.66233603
 0.70827842 0.73507814 0.70062135 0.80016318 0.83461997 0.86141969
 0.88821942 0.91501914 0.94181887 0.97244712 0.99924685 1.01838951
 0.96861859 1.00690391 1.07581749 1.09496015 1.11027427 1.1255884
 1.14090253 1.15621666 1.17153079 1.17918785 1.17535932 1.07964602
 1.19833051 1.2213017  1.22513023 1.22895876 1.2327873  1.23661583
 1.24427289 1.25192996 1.24810142 1.16004519 1.17918785 1.24810142
 1.24810142 1.24427289 1.2327873  1.22895876 1.2213017  1.21747317
 1.2098161  1.17918785 1.06050336 1.14855959 1.13324547 1.08730308
 1.03370363 0.96861859 0.87290529 0.76187786 0.58193686 0.49005209
 0.76187786]"
F-12,"[0.23070769 0.27951124 0.36380828 0.44366863 0.50578224 0.55902247
 0.61226271 0.65219289 0.63000946 0.71874318 0.76754673 0.80304022
 0.83853371 0.8740272  0.90952069 0.94501418 0.98050767 1.01156448
 1.0026911  0.98494436 1.09142483 1.11804495 1.14022838 1.15353844
 1.17572187 1.19346862 1.20677867 1.23339879 1.23339879 1.13579169
 1.24670885 1.28220234 1.29107571 1.2955124  1.30438577 1.30438577
 1.30882246 1.31769583 1.32213252 1.2644556  1.22896211 1.32213252
 1.32656921 1.31769583 1.31325915 1.2955124  1.28220234 1.26889228
 1.24670885 1.21121536 1.07811477 1.14022838 1.11360826 1.06480471
 0.99825442 0.91839407 0.82078697 0.70543312 0.54571242 0.39930177
 0.66993963]"
G-02,"[0.39793674 0.32390199 0.40256391 0.48122582 0.54600622 0.60615945
 0.65243116 0.68944853 0.65705833 0.7588561  0.80975499 0.84214519
 0.87453539 0.90229841 0.93468861 0.96707881 0.99484184 1.0179777
 0.9855875  0.99484184 1.10126678 1.12902981 1.14291133 1.15679284
 1.1799287  1.19381021 1.21694607 1.23082758 1.22620041 1.11052113
 1.24008192 1.27709929 1.28635364 1.29098081 1.29560798 1.30023515
 1.30023515 1.30486232 1.30486232 1.22157324 1.20306455 1.29098081
 1.29098081 1.28635364 1.27247212 1.25859061 1.2447091  1.23545475
 1.21694607 1.1799287  1.03648638 1.11977547 1.10589395 1.05962224
 0.99946901 0.9208071  0.8236365  0.70333005 0.54137905 0.38405522
 0.47659865]"
G-04,"[0.33947564 0.35079149 0.44131833 0.51675736 0.58088053 0.63368786
 0.68272323 0.70158298 0.67895127 0.78456592 0.82982933 0.86000495
 0.89018056 0.91281227 0.94298788 0.96561959 0.99202325 1.01088301
 0.96184764 1.01842691 1.09009399 1.1202696  1.13535741 1.15421717
 1.16553302 1.18062083 1.19570863 1.20702449 1.19193668 1.10140984
 1.22588424 1.25983181 1.26737571 1.27114766 1.27869157 1.28246352
 1.28246352 1.28623547 1.27491961 1.18439278 1.22211229 1.29000742
 1.29000742 1.28246352 1.27114766 1.25605986 1.2372001  1.2296562
 1.21456839 1.17307692 1.04860252 1.13535741 1.11649765 1.06369033
 1.0033391  0.92412812 0.83360129 0.70912689 0.53561712 0.42245857
 0.4903537 ]"
G-06,"[0.32345076 0.3684526  0.45704998 0.54142844 0.61174382 0.66940243
 0.71721689 0.74393674 0.7003412  0.80300166 0.84519089 0.87191073
 0.89863058 0.92535042 0.95488288 0.98722796 1.01676042 1.04207396
 1.00129104 0.99847842 1.10817042 1.13067134 1.14614072 1.15879749
 1.16864165 1.1784858  1.18973626 1.20239303 1.19254887 1.08145057
 1.19536149 1.23051918 1.23192549 1.23192549 1.2347381  1.23895703
 1.24317595 1.24880118 1.24880118 1.17989211 1.13489026 1.24176964
 1.24739487 1.24598857 1.23614441 1.22630026 1.21926872 1.21223718
 1.20239303 1.17286057 1.03644873 1.12082719 1.11942088 1.07863796
 1.02660457 0.95910181 0.87472335 0.76081243 0.5892429  0.43173644
 0.54424105]"
G-11,"[0.28815161 0.33900189 0.42375236 0.5017228  0.56274314 0.61698344
 0.6644437  0.69156385 0.66783372 0.76614427 0.8068245  0.84072469
 0.87462487 0.90174503 0.93564522 0.96276537 0.99327554 1.01361565
 0.96276537 1.02039569 1.0949761  1.1119262  1.13226631 1.15260642
 1.16955652 1.18650661 1.20006669 1.21362676 1.20345671 1.10853618
 1.23057686 1.25091697 1.26108703 1.26447705 1.26447705 1.26786707
 1.27125709 1.27803712 1.27803712 1.19328665 1.22379682 1.2915972
 1.2915972  1.2915972  1.27803712 1.26108703 1.24752695 1.2373569
 1.2204068  1.17633656 1.05090586 1.13565633 1.1119262  1.06107591
 1.00344559 0.92886518 0.83055463 0.70851395 0.53562299 0.44748249
 0.69834389]"
G-13,"[0.2843474  0.34795142 0.43026251 0.5125736  0.58366045 0.63978165
 0.69590285 0.72209274 0.69216143 0.796921   0.84555937 0.87549068
 0.90542198 0.93161187 0.95780177 0.99147448 1.02140579 1.04759568
 1.00644014 1.0251472  1.11868253 1.14861384 1.16357949 1.18228656
 1.19725221 1.20847645 1.21595927 1.23092493 1.21970069 1.11494112
 1.23840775 1.27208047 1.27582188 1.2795633  1.2795633  1.2795633
 1.2795633  1.27582188 1.27582188 1.20847645 1.19351079 1.27208047
 1.27582188 1.27208047 1.25711482 1.23466634 1.21595927 1.20099362
 1.18976938 1.14861384 1.01392296 1.08500981 1.07378557 1.01766438
 0.95780177 0.8829735  0.80066241 0.69590285 0.54624632 0.40781403
 0.47890088]"
H-03,"[0.36051392 0.32394004 0.39708779 0.47023555 0.52770878 0.58518201
 0.63220557 0.64788009 0.63220557 0.73147752 0.77850107 0.80985011
 0.84642398 0.87777302 0.9143469  0.95092077 0.98749465 1.01884368
 0.96659529 1.01884368 1.10244111 1.12856531 1.14946467 1.16513919
 1.1808137  1.19648822 1.21216274 1.22783726 1.22261242 1.11811563
 1.24873662 1.28008565 1.28531049 1.28531049 1.29576017 1.29576017
 1.30098501 1.31143469 1.30620985 1.2069379  1.23828694 1.31143469
 1.31143469 1.30098501 1.29576017 1.27486081 1.26441113 1.24873662
 1.23828694 1.19126338 1.05541756 1.14423983 1.12334047 1.07631692
 1.008394   0.93002141 0.83074946 0.71057816 0.53815846 0.39708779
 0.51203426]"
H-08,"[0.33283161 0.37491377 0.46672938 0.54706805 0.61592976 0.67331452
 0.71922233 0.74982753 0.71539668 0.81103794 0.84929445 0.87224835
 0.89902791 0.92580746 0.95258702 0.97936657 1.00614613 1.02910003
 0.99466918 1.00614613 1.09413609 1.11326435 1.1323926  1.1476952
 1.15917215 1.17447476 1.18212606 1.19360301 1.18595171 1.08265914
 1.19742866 1.22038257 1.22803387 1.22803387 1.22803387 1.23185952
 1.23185952 1.23568517 1.23951082 1.16682346 1.15152085 1.23185952
 1.23185952 1.22803387 1.22038257 1.20890561 1.20125431 1.19360301
 1.18595171 1.1629978  1.04440263 1.12856695 1.11709    1.07883349
 1.02910003 0.95641267 0.8684227  0.75747883 0.5891502  0.46290373
 0.75747883]"
H-10,"[0.31033386 0.35397456 0.44125596 0.51399046 0.58187599 0.63521463
 0.68370429 0.70794913 0.67885533 0.78068362 0.81462639 0.84372019
 0.87281399 0.90190779 0.93100159 0.96494436 0.99403816 1.01828299
 0.97949126 1.01343402 1.09586645 1.12011129 1.13465819 1.14920509
 1.16375199 1.17829889 1.19284579 1.20739269 1.19769475 1.10071542
 1.22193959 1.25588235 1.26558029 1.26558029 1.27527822 1.28012719
 1.27527822 1.28012719 1.27527822 1.17344992 1.19769475 1.26073132
 1.25588235 1.24618442 1.24133545 1.23163752 1.22193959 1.21224165
 1.20254372 1.16860095 1.04252782 1.12496025 1.11041335 1.06192369
 1.00858506 0.93585056 0.84372019 0.73219396 0.56732909 0.47034976
 0.73219396]"
I-05,"[0.28486438 0.35510491 0.44095445 0.52290174 0.59314227 0.6477738
 0.69069857 0.72191658 0.68679632 0.77654811 0.81947288 0.85459314
 0.87800665 0.90922467 0.93263818 0.95995394 0.99507421 1.01848772
 0.99897646 0.9872697  1.08872825 1.11214176 1.13165302 1.15116428
 1.16677329 1.17848004 1.1901868  1.2057958  1.2057958  1.10433726
 1.20969806 1.24481832 1.25262282 1.25262282 1.24872057 1.25262282
 1.25262282 1.26042733 1.26042733 1.20969806 1.16677329 1.26042733
 1.26823183 1.26823183 1.26432958 1.25652508 1.24091607 1.23311157
 1.21750256 1.19408905 1.06141249 1.12384852 1.11604401 1.07702149
 1.01848772 0.95214944 0.8662999  0.7609391  0.62045803 0.45656346
 0.52290174]"
I-07,"[0.49267386 0.401115   0.48831392 0.57551283 0.64527196 0.69759131
 0.74991066 0.77171039 0.72811093 0.82838968 0.87198914 0.89814881
 0.92430848 0.94610821 0.97226789 0.99842756 1.02458723 1.04202702
 0.99406761 1.00714745 1.09870631 1.11614609 1.12922593 1.13794582
 1.14666571 1.16846544 1.17718533 1.19462512 1.18590522 1.07690658
 1.19462512 1.22078479 1.22078479 1.22078479 1.22514474 1.22514474
 1.22950468 1.23386463 1.23386463 1.15974555 1.15102566 1.22950468
 1.22950468 1.21642484 1.2120649  1.20334501 1.19026517 1.18590522
 1.17718533 1.14666571 1.02458723 1.11178615 1.09870631 1.0594668
 1.00714745 0.93738832 0.85454935 0.74555071 0.57551283 0.43163462
 0.55807305]"
J-03,"[0.21066581 0.25475865 0.32334752 0.39193639 0.44582764 0.4997189
 0.53891254 0.57810618 0.55850936 0.64669504 0.7005863  0.73488073
 0.77897358 0.82796563 0.86715926 0.92105052 0.96514336 1.00923621
 0.99453859 1.004337   1.1072203  1.13661553 1.16111156 1.18070838
 1.2003052  1.21990202 1.23949884 1.25909565 1.25909565 1.16111156
 1.27379327 1.3031885  1.31788611 1.32278532 1.32768452 1.33258373
 1.33748293 1.34238214 1.34238214 1.27379327 1.25419645 1.34238214
 1.34238214 1.33748293 1.32768452 1.31788611 1.3031885  1.28849088
 1.26889406 1.22970043 1.09742189 1.16601076 1.14151474 1.08272428
 1.02393382 0.94064734 0.83776404 0.71038471 0.53891254 0.41643242
 0.68098948]"
J-08,"[0.32148846 0.34584365 0.42865128 0.50658788 0.57965344 0.62836381
 0.68194522 0.71117144 0.68194522 0.77449493 0.81346323 0.84268945
 0.87191568 0.89627086 0.93036812 0.95959435 0.98882057 1.01804679
 0.98394953 1.00343368 1.09598339 1.11546754 1.13495169 1.1495648
 1.16904895 1.18366206 1.19827517 1.21288829 1.20801725 1.10085443
 1.21288829 1.23724347 1.24211451 1.23724347 1.24698555 1.24698555
 1.25672762 1.25672762 1.2664697  1.19340414 1.18366206 1.2664697
 1.26159866 1.25672762 1.24698555 1.23724347 1.22263036 1.21775932
 1.20801725 1.17879102 1.05214405 1.13982273 1.12520961 1.08624132
 1.02291783 0.95959435 0.86704464 0.75013974 0.5747824  0.45787751
 0.75013974]"
J-10,"[0.3300911  0.30502089 0.37605315 0.44708542 0.50558257 0.55990136
 0.60168505 0.62675526 0.60168505 0.70196589 0.74792794 0.78135489
 0.81478183 0.85238715 0.8983492  0.93595452 0.97355983 1.00698678
 0.95266799 1.01952189 1.10308925 1.13233783 1.15740804 1.17412152
 1.19919173 1.2159052  1.2284403  1.24515378 1.2284403  1.12398109
 1.25351051 1.27858072 1.29111583 1.29111583 1.29947257 1.30365093
 1.3078293  1.31618604 1.31618604 1.20754846 1.24933215 1.32036441
 1.32036441 1.31200767 1.30365093 1.29111583 1.27858072 1.26604562
 1.25351051 1.20337009 1.06548394 1.15740804 1.1365162  1.08637578
 1.02370025 0.94431125 0.85238715 0.72285773 0.54736626 0.41365847
 0.53900952]"
J-12,"[0.22621318 0.28115067 0.35547786 0.42011019 0.48474253 0.53321678
 0.57199619 0.60754397 0.58492265 0.68187116 0.73357703 0.77235643
 0.81436745 0.85637847 0.90162111 0.95009536 0.995338   1.03734901
 1.0147277  1.0341174  1.1310659  1.16661369 1.18923501 1.20862471
 1.22801441 1.24094088 1.25386734 1.27002543 1.2635622  1.15368722
 1.2829519  1.3217313  1.32496292 1.32496292 1.32496292 1.32819453
 1.32496292 1.32496292 1.3217313  1.24740411 1.22155118 1.31203645
 1.3217313  1.31849968 1.30557321 1.28941513 1.2635622  1.24417249
 1.22155118 1.18277177 1.04704387 1.11813944 1.10844459 1.05997033
 0.99210638 0.91454757 0.82083068 0.70772409 0.56230134 0.41687858
 0.48151091]"
K-07,"[0.28303891 0.33078041 0.41603309 0.49105546 0.55243739 0.60699911
 0.65474061 0.68202147 0.65815072 0.75704383 0.80137522 0.82865608
 0.86275716 0.88662791 0.91731887 0.94459973 0.9752907  1.00257156
 0.96506038 0.99575134 1.08100403 1.10487478 1.12533542 1.14920617
 1.16966682 1.18671735 1.20376789 1.21399821 1.2105881  1.10487478
 1.22422853 1.24809928 1.2549195  1.26173971 1.27538014 1.27879025
 1.28902057 1.28902057 1.28902057 1.21399821 1.21740832 1.28902057
 1.28902057 1.27879025 1.27197004 1.25832961 1.24809928 1.23786896
 1.22763864 1.19694767 1.0673636  1.14920617 1.12874553 1.07759392
 1.01962209 0.94459973 0.84911673 0.72976297 0.56607782 0.43649374
 0.72976297]"
L-04,"[0.22866997 0.27897736 0.35215175 0.42075274 0.48020693 0.53508772
 0.57624831 0.60826211 0.58082171 0.6768631  0.73631729 0.77290448
 0.81406508 0.85522567 0.89638626 0.94669366 0.98785425 1.02901484
 1.01072125 1.02444145 1.12962963 1.16164342 1.18451042 1.20280402
 1.22109762 1.23481781 1.25311141 1.26225821 1.25768481 1.15249663
 1.28512521 1.3262858  1.3354326  1.3354326  1.340006   1.3308592
 1.3308592  1.3262858  1.3262858  1.25311141 1.23024441 1.317139
 1.3262858  1.3217124  1.3125656  1.294272   1.26683161 1.24853801
 1.23024441 1.18908382 1.05188184 1.12048283 1.10676263 1.05188184
 0.98328085 0.90553306 0.81863848 0.70430349 0.56252812 0.41617934
 0.48020693]"
L-09,"[0.290938   0.29370883 0.36297979 0.43225074 0.49043834 0.53754258
 0.57910516 0.6040427  0.59018851 0.68716784 0.73150125 0.77029298
 0.80908471 0.85618896 0.90606405 0.95316829 1.00027254 1.0335226
 0.9975017  1.05846014 1.13881444 1.16652283 1.18591869 1.20254372
 1.21639791 1.23579378 1.24687713 1.25796048 1.24410629 1.14712696
 1.27458551 1.30783557 1.31337724 1.31337724 1.31614808 1.31337724
 1.31891892 1.31891892 1.31614808 1.21362707 1.24964797 1.31891892
 1.3244606  1.31891892 1.30783557 1.29121054 1.27181467 1.25796048
 1.23856462 1.19146037 1.05014763 1.13327277 1.11110606 1.05846014
 0.99196003 0.91160572 0.81462639 0.69270952 0.53754258 0.41285487
 0.48212582]"
M-07,"[0.37210361 0.3387809  0.42486457 0.50261756 0.56926299 0.62757773
 0.6775618  0.70533072 0.6747849  0.77475304 0.827514   0.8636136
 0.89415942 0.92470524 0.95525106 0.98301998 1.0135658  1.03578094
 1.00523513 1.01078891 1.09964947 1.12464151 1.13852597 1.15796422
 1.17184868 1.18851004 1.2023945  1.21627896 1.21627896 1.11631083
 1.23571721 1.28014749 1.28570128 1.28847817 1.28847817 1.29125506
 1.29125506 1.28847817 1.28570128 1.21627896 1.18573315 1.28014749
 1.28570128 1.28292439 1.26626303 1.24960168 1.23016343 1.21350207
 1.19684072 1.163518   1.03022716 1.09964947 1.08298812 1.03855784
 0.97191241 0.89693631 0.81085264 0.70533072 0.55537852 0.413757
 0.47484864]"
