,detector
F-08,"[0.56815536 0.49571555 0.61360779 0.7215573  0.80536022 0.87353886
 0.92609323 0.95308061 0.89484469 1.01415731 1.0525078  1.07239324
 1.09085829 1.10932334 1.12494761 1.13915149 1.15335538 1.15619615
 1.08375635 1.09653984 1.16471848 1.16471848 1.16045732 1.16187771
 1.16187771 1.16187771 1.1632981  1.16187771 1.14199227 1.03546314
 1.1377311  1.1505146  1.14483305 1.13915149 1.13346994 1.13062916
 1.126368   1.12494761 1.11926606 1.04398547 1.04114469 1.10364178
 1.10080101 1.09227868 1.08517673 1.07807479 1.06955246 1.0652913
 1.05818935 1.03546314 0.92467284 1.0042146  0.99427188 0.96160294
 0.91615051 0.85933498 0.78263401 0.68320682 0.52838448 0.40054953
 0.54116798]"
F-12,"[0.35297391 0.39030768 0.50230902 0.60073443 0.68897791 0.7585545
 0.81964614 0.86376787 0.82982808 0.94522339 1.00122406 1.03346687
 1.06401269 1.08946753 1.11322539 1.13528626 1.15395315 1.16413509
 1.12510432 1.08946753 1.18958994 1.19977188 1.20486285 1.20655984
 1.20486285 1.20655984 1.20825683 1.20995382 1.19977188 1.08607355
 1.18110499 1.20316586 1.19977188 1.19468091 1.19468091 1.18449897
 1.18110499 1.17601402 1.17262004 1.11831636 1.07419463 1.15395315
 1.15565014 1.1454682  1.13698325 1.12340733 1.10983141 1.09625549
 1.08098258 1.05213376 0.93673844 0.99273911 0.97916319 0.93843543
 0.88582874 0.81794915 0.73819062 0.63637122 0.49891504 0.36824681
 0.63467423]"
G-02,"[0.48384204 0.44451918 0.55393929 0.65310126 0.73858572 0.80868298
 0.86510272 0.89245775 0.85484459 0.98478096 1.02752319 1.05487822
 1.07710418 1.09933014 1.11813672 1.13523361 1.15404019 1.16429833
 1.07539449 1.1215561  1.19507273 1.20362118 1.20362118 1.20704056
 1.20533087 1.21045993 1.21387931 1.215589   1.1848146  1.07197511
 1.18994366 1.20362118 1.2002018  1.19336304 1.18652429 1.18310491
 1.17797584 1.17455646 1.16429833 1.05316853 1.09249138 1.14378206
 1.13523361 1.12668516 1.11471734 1.10103983 1.089072   1.07710418
 1.06513635 1.01897475 0.90613526 0.98649065 0.97281314 0.93519998
 0.87878023 0.81381205 0.72490821 0.61719779 0.4581967  0.3470669
 0.44964825]"
G-04,"[0.44673493 0.47155354 0.58875251 0.69078457 0.77489207 0.84383264
 0.89760629 0.91690965 0.87830293 1.0065324  1.04927556 1.07547298
 1.09615515 1.11545851 1.12786781 1.14165593 1.1499288  1.15268642
 1.07409417 1.11270089 1.18164146 1.19405077 1.19542958 1.19405077
 1.19267196 1.18991433 1.18853552 1.1857779  1.15544405 1.05341199
 1.16371691 1.18715671 1.18302028 1.17750503 1.17061097 1.16371691
 1.15682286 1.1499288  1.1375195  1.05065437 1.07409417 1.13200425
 1.13062544 1.12373138 1.11132208 1.09339753 1.0782306  1.06857892
 1.05616962 1.01894171 0.91139441 0.98998666 0.98033498 0.94034945
 0.88795461 0.81901404 0.73904297 0.63425329 0.49361452 0.38193079
 0.45225018]"
G-06,"[0.41316716 0.46687889 0.58049986 0.68792333 0.7788201  0.84905852
 0.90483609 0.93375779 0.87591439 0.99986454 1.04737876 1.07216879
 1.09282715 1.11141967 1.12794636 1.14447304 1.15893389 1.16926307
 1.11141967 1.0783663  1.17959225 1.18992143 1.18992143 1.18578976
 1.18165809 1.17752642 1.17546058 1.17546058 1.15686806 1.03498374
 1.13414386 1.16099973 1.15480222 1.14653888 1.14034137 1.1362097
 1.13414386 1.13414386 1.12794636 1.05977377 1.02258873 1.10935383
 1.11348551 1.107288   1.09902465 1.08662964 1.08043213 1.07216879
 1.06597128 1.04118125 0.91929694 0.9977987  0.99986454 0.96681116
 0.92342861 0.86765104 0.79328095 0.70031834 0.55157816 0.39664048
 0.50406394]"
G-11,"[0.42936149 0.46003017 0.57248198 0.66959946 0.7513826  0.81271996
 0.87405732 0.89961455 0.85872298 0.98139769 1.01717781 1.04273504
 1.06829227 1.09384951 1.10918384 1.12451818 1.13985252 1.14496397
 1.05806938 1.12451818 1.18074409 1.18585554 1.19096699 1.19096699
 1.19096699 1.19096699 1.19096699 1.19096699 1.1705212  1.06318083
 1.17563265 1.18585554 1.18074409 1.17563265 1.16540975 1.16540975
 1.16540975 1.16029831 1.15007541 1.05295794 1.1040724  1.14496397
 1.13985252 1.13474108 1.11940674 1.10918384 1.09896095 1.08873806
 1.07851517 1.0274007  0.92517178 1.00184347 0.98650913 0.94561756
 0.8945031  0.8280543  0.74627116 0.63893079 0.48047595 0.39358136
 0.55714765]"
G-13,"[0.3698453  0.44734965 0.56020686 0.66626544 0.75192814 0.82263385
 0.88518122 0.91509518 0.86886452 0.9912398  1.03883019 1.0660247
 1.0877803  1.10953591 1.12721234 1.1462485  1.1625652  1.173443
 1.11905399 1.11769426 1.20063751 1.21015559 1.21287504 1.21287504
 1.21151531 1.21151531 1.21015559 1.21015559 1.18975971 1.0714636
 1.1788819  1.20471669 1.19655833 1.18839998 1.18296108 1.17480273
 1.1680041  1.1625652  1.1516874  1.0823414  1.06194552 1.13401097
 1.13537069 1.12449289 1.11225536 1.09729838 1.07826223 1.06466497
 1.04834827 1.01707458 0.89741875 0.96540502 0.95724667 0.91645491
 0.86342562 0.80223797 0.72473363 0.62819313 0.50037894 0.3752842
 0.43647185]"
H-03,"[0.47330251 0.42307449 0.52546238 0.62205473 0.7031923  0.77080694
 0.82876235 0.85774006 0.81717127 0.94660502 0.99876488 1.03353813
 1.06251583 1.08956169 1.1146757  1.13399417 1.1513808  1.16104003
 1.07797061 1.11274386 1.19194958 1.20160882 1.20354066 1.20547251
 1.2093362  1.2093362  1.2093362  1.21126805 1.18615404 1.06831138
 1.18615404 1.20547251 1.19967697 1.19388143 1.19001773 1.18615404
 1.18229035 1.1803585  1.17263111 1.07024322 1.08376615 1.15524449
 1.15331264 1.14558525 1.13206233 1.1185394  1.10115277 1.09149354
 1.07990246 1.04126552 0.9253547  1.00842412 0.99296934 0.95240056
 0.89830884 0.8306942  0.74955663 0.64330504 0.49068913 0.36511908
 0.47330251]"
H-08,"[0.56843331 0.49453698 0.6124869  0.71338381 0.79580664 0.86543972
 0.92086197 0.94786255 0.89386139 1.01323238 1.05018055 1.07007571
 1.0885498  1.10418171 1.11697146 1.13260338 1.14539313 1.15107746
 1.08144438 1.0970763  1.16670938 1.17239371 1.17381479 1.17381479
 1.17523588 1.17665696 1.17523588 1.17239371 1.14823529 1.03881188
 1.14112988 1.15534071 1.14823529 1.14255096 1.13544554 1.12834013
 1.12549796 1.12123471 1.11555038 1.04165405 1.03881188 1.10418171
 1.10133955 1.09423413 1.08570763 1.07576005 1.06723355 1.06154921
 1.0544438  1.03312755 0.92370414 1.0032848  0.9947583  0.96207338
 0.91659872 0.86117647 0.78017472 0.68069889 0.53148515 0.40074549
 0.53716948]"
H-10,"[0.54331691 0.47268571 0.5849712  0.68276824 0.76245472 0.83127486
 0.88560656 0.91458346 0.86568494 0.98159254 1.02505789 1.04679057
 1.06852325 1.08844487 1.10474437 1.12104388 1.13553233 1.14458761
 1.07757853 1.09025592 1.17537557 1.1826198  1.18080874 1.1826198
 1.1826198  1.1826198  1.18443085 1.1826198  1.16450923 1.05765691
 1.16450923 1.18443085 1.18080874 1.17718663 1.17356452 1.17175346
 1.16269818 1.15726501 1.14458761 1.06127902 1.05765691 1.12285494
 1.11742177 1.10474437 1.09568909 1.08482275 1.07576747 1.0703343
 1.06127902 1.03230212 0.92182768 0.99789205 0.98702571 0.95080458
 0.90371712 0.84395226 0.76788789 0.67009085 0.52520634 0.39481028
 0.53245057]"
I-05,"[0.45118554 0.49259181 0.61252721 0.71247337 0.79243031 0.85525361
 0.9095101  0.92807153 0.88809306 1.00231725 1.04229572 1.06228495
 1.08084638 1.09655221 1.11368584 1.12796386 1.14366969 1.1493809
 1.06799616 1.12368045 1.17793694 1.18650376 1.18650376 1.18793156
 1.18650376 1.18507595 1.18364815 1.18222035 1.1550921  1.05514594
 1.15794771 1.17079793 1.16651452 1.15794771 1.1493809  1.14366969
 1.13938628 1.13653067 1.12796386 1.04372352 1.07799078 1.11939705
 1.12225265 1.11796924 1.11083023 1.10083562 1.08655759 1.07656298
 1.06371275 1.02658989 0.92664373 0.99660604 0.98090022 0.94234955
 0.89094867 0.83240877 0.75387964 0.64965007 0.50401423 0.40549587
 0.48116939]"
I-07,"[0.56898739 0.51133    0.62512748 0.73437306 0.82085914 0.88762033
 0.94072582 0.96196801 0.90279332 1.0241773  1.06059249 1.07880009
 1.09549039 1.10914608 1.12280178 1.13494018 1.14707858 1.15314778
 1.06817899 1.08790389 1.16680347 1.16832077 1.16528617 1.16225157
 1.16376887 1.16528617 1.16832077 1.16983807 1.14859588 1.0363157
 1.14252668 1.15466507 1.14707858 1.14100938 1.13494018 1.13038828
 1.12583638 1.12431908 1.11824988 1.0302465  1.0393503  1.10307688
 1.10004229 1.09093849 1.08183469 1.07121359 1.06210979 1.05907519
 1.05300599 1.02266    0.91037982 0.99534861 0.98927941 0.95438151
 0.90886252 0.84968783 0.77534015 0.67519837 0.5310549  0.39904982
 0.5280203 ]"
J-03,"[0.30937519 0.37161635 0.47230058 0.56017046 0.63339535 0.70112838
 0.7597083  0.79632075 0.78350639 0.90615809 0.96473801 1.01416482
 1.05260789 1.08922033 1.11851029 1.14413901 1.16976772 1.1844127
 1.10020407 1.15878399 1.2173639  1.22651702 1.22834764 1.22834764
 1.23200888 1.23383951 1.23383951 1.23017826 1.20454955 1.10752656
 1.21553328 1.22285577 1.22102515 1.2173639  1.21004141 1.20454955
 1.19905768 1.19722706 1.18807395 1.08372847 1.12766341 1.16976772
 1.16244523 1.15329212 1.14413901 1.12949403 1.11667967 1.10386531
 1.08922033 1.04711602 0.94093992 1.00867295 0.98487486 0.94093992
 0.88419062 0.81279635 0.72309585 0.61508913 0.45216374 0.40273693
 0.59861353]"
J-08,"[0.47745603 0.47564061 0.58638136 0.68622958 0.76792357 0.83327877
 0.88774144 0.9095265  0.86777179 0.98758966 1.02571352 1.04568316
 1.06565281 1.08380703 1.10014583 1.11648463 1.13282343 1.14553138
 1.06565281 1.10740752 1.17639356 1.18365525 1.18910151 1.19091694
 1.18910151 1.19273236 1.19454778 1.19091694 1.16731645 1.05839112
 1.16005476 1.16913187 1.16187018 1.15460849 1.15097765 1.14553138
 1.14371596 1.14553138 1.14008512 1.04205232 1.08199161 1.13282343
 1.12737716 1.11466921 1.10922294 1.09651498 1.08562245 1.08017619
 1.06928365 1.03115979 0.92949615 1.00937472 0.9912205  0.95672748
 0.9095265  0.84598673 0.76610815 0.65899824 0.49924109 0.40483914
 0.58456594]"
J-10,"[0.44499963 0.40690034 0.50900642 0.60349264 0.68273915 0.74979389
 0.80618083 0.83513628 0.80008494 0.93114648 0.9829615  1.02106078
 1.05001624 1.07744772 1.10487921 1.12926275 1.15059835 1.16279012
 1.08049567 1.12011892 1.19936543 1.21460514 1.22070103 1.22070103
 1.222225   1.22374897 1.222225   1.22070103 1.1902216  1.07439978
 1.18717366 1.2008894  1.19936543 1.19631749 1.19174557 1.18717366
 1.18107777 1.17802983 1.168886   1.07135184 1.09573538 1.16126615
 1.15974217 1.1475504  1.13535863 1.12164289 1.10945112 1.10030729
 1.08963949 1.05001624 0.92809853 1.01039298 0.99667724 0.95705399
 0.90371499 0.84123217 0.75893772 0.6537837  0.49376671 0.37337297
 0.49224274]"
J-12,"[0.28705882 0.3657685  0.4629981  0.55559772 0.6343074  0.70375712
 0.75931689 0.79635674 0.77320683 0.89821632 0.96303605 1.00933586
 1.05100569 1.08341556 1.11582543 1.14823529 1.1713852  1.18990512
 1.12508539 1.14823529 1.22694497 1.23620493 1.2454649  1.2454649
 1.2454649  1.24083491 1.2454649  1.24083491 1.21305503 1.10193548
 1.21305503 1.23620493 1.23157495 1.22231499 1.21305503 1.21305503
 1.20379507 1.1945351  1.18527514 1.10656546 1.10193548 1.1713852
 1.17601518 1.16675522 1.15286528 1.13897533 1.11582543 1.10193548
 1.08341556 1.04174573 0.92136622 1.0000759  0.98618596 0.94451613
 0.88895636 0.81950664 0.73616698 0.6343074  0.49540797 0.37502846
 0.44447818]"
K-07,"[0.41521008 0.45621849 0.56386555 0.6612605  0.74840336 0.81504202
 0.87142857 0.89705882 0.86117647 0.98420168 1.02008403 1.04571429
 1.06621849 1.09184874 1.10722689 1.12260504 1.13798319 1.14823529
 1.06621849 1.11235294 1.1789916  1.18411765 1.18411765 1.1892437
 1.19436975 1.19436975 1.19436975 1.1994958  1.17386555 1.06621849
 1.17386555 1.18411765 1.18411765 1.17386555 1.17386555 1.1687395
 1.1687395  1.1687395  1.15848739 1.06109244 1.09184874 1.14310924
 1.13285714 1.12773109 1.11235294 1.10722689 1.09184874 1.08159664
 1.06621849 1.03546218 0.92781513 1.00470588 0.98932773 0.94831933
 0.89193277 0.82529412 0.74840336 0.64588235 0.48184874 0.39470588
 0.58436975]"
L-04,"[0.30354754 0.36882658 0.46021724 0.55650383 0.63810263 0.70501364
 0.76376478 0.80619616 0.77355664 0.90085077 0.96776179 1.01508909
 1.05262454 1.08852801 1.11790358 1.1440152  1.16849484 1.18807855
 1.14564717 1.13095939 1.225614   1.23866981 1.24030178 1.23703783
 1.23703783 1.23540585 1.23540585 1.23377388 1.21745412 1.10158382
 1.21255819 1.24846166 1.24682969 1.23866981 1.22887795 1.21908609
 1.20766226 1.19950238 1.18644657 1.12443148 1.08200011 1.16849484
 1.17175879 1.16359891 1.1505431  1.13422334 1.11300765 1.09668789
 1.08036813 1.04446466 0.92369843 0.98408155 0.97592167 0.93022634
 0.87637113 0.81109209 0.73275724 0.63483868 0.50917652 0.37535449
 0.43084167]"
L-09,"[0.3826598  0.3826598  0.47127575 0.5639197  0.64045166 0.70489963
 0.7612916  0.79351558 0.7693476  0.89824353 0.96269149 1.00699947
 1.05130745 1.08353143 1.11978341 1.1439514  1.16811939 1.18020338
 1.11575541 1.1520074  1.22048336 1.22853936 1.23256735 1.22853936
 1.23256735 1.23256735 1.22853936 1.22853936 1.20437137 1.09561543
 1.21242736 1.22853936 1.22451136 1.22048336 1.20839937 1.20437137
 1.19631537 1.19631537 1.18020338 1.09561543 1.11172742 1.17214739
 1.17617538 1.16409139 1.1520074  1.1358954  1.11978341 1.10769942
 1.09158743 1.05130745 0.93046751 1.00297147 0.99088748 0.9465795
 0.89421553 0.82171157 0.73712361 0.63239567 0.48738774 0.3786318
 0.44307977]"
M-07,"[0.36420326 0.44513732 0.558445   0.66365928 0.75268675 0.8255274
 0.87813454 0.91455486 0.86599443 0.98739552 1.04404936 1.07237628
 1.1007032  1.12093671 1.13712352 1.15331034 1.16949715 1.17759055
 1.12498342 1.1007032  1.18973066 1.19782407 1.19782407 1.19782407
 1.19782407 1.19377736 1.19782407 1.19782407 1.18163726 1.06832957
 1.17759055 1.20591747 1.20591747 1.20187077 1.19377736 1.18163726
 1.17354385 1.16545044 1.15331034 1.08856309 1.05618947 1.13712352
 1.13712352 1.13307682 1.11689001 1.09665649 1.07642298 1.06428287
 1.05214276 1.01976914 0.90241475 0.967162   0.9631153  0.91860157
 0.86599443 0.80529388 0.72435982 0.63128566 0.51393127 0.36824997
 0.42490381]"
